Date,Id,Players,Time,Seconds,Link
2015-12-01,7z07ploy,PeterAfro,1h 50m 02s,6602,https://www.speedrun.com/dmc3se/runs/7z07ploy
2015-12-29,nz1x4wwm,PvtCb,1h 18m 03s,4683,https://www.speedrun.com/dmc3se/runs/nz1x4wwm
2016-02-19,oy27pe7z,Radge,1h 12m 27s,4347,https://www.speedrun.com/dmc3se/runs/oy27pe7z
2016-12-17,9mep998y,Simoteus,1h 12m 08s,4328,https://www.speedrun.com/dmc3se/runs/9mep998y
2017-03-01,0y612o1m,Simoteus,1h 11m 20s,4280,https://www.speedrun.com/dmc3se/runs/0y612o1m
2017-03-04,8yvd7vey,Simoteus,1h 10m 51s,4251,https://www.speedrun.com/dmc3se/runs/8yvd7vey
2017-03-17,7z0vp68y,Simoteus,1h 09m 43s,4183,https://www.speedrun.com/dmc3se/runs/7z0vp68y
2017-03-22,0y6kq46z,Simoteus,1h 09m 10s,4150,https://www.speedrun.com/dmc3se/runs/0y6kq46z
2017-03-23,7z0vq4ey,Simoteus,1h 09m 08s,4148,https://www.speedrun.com/dmc3se/runs/7z0vq4ey
2017-04-21,y8qqqowy,Simoteus,1h 08m 47s,4127,https://www.speedrun.com/dmc3se/runs/y8qqqowy
2017-05-05,m3ddj7qz,Simoteus,1h 07m 55s,4075,https://www.speedrun.com/dmc3se/runs/m3ddj7qz
2017-06-04,mrqeeg2y,Simoteus,1h 07m 23s,4043,https://www.speedrun.com/dmc3se/runs/mrqeeg2y
2017-07-11,ydq068jm,Simoteus,1h 06m 27s,3987,https://www.speedrun.com/dmc3se/runs/ydq068jm
2018-06-02,y4396onz,Simoteus,1h 06m 21s,3981,https://www.speedrun.com/dmc3se/runs/y4396onz
2018-07-07,zn44d9lm,Simoteus,1h 06m 10s,3970,https://www.speedrun.com/dmc3se/runs/zn44d9lm
2018-07-10,yo2jjq1z,Simoteus,1h 06m 00s,3960,https://www.speedrun.com/dmc3se/runs/yo2jjq1z
2018-07-17,y891pvwm,Simoteus,1h 05m 40s,3940,https://www.speedrun.com/dmc3se/runs/y891pvwm
2018-08-13,z11oll9z,Simoteus,1h 05m 29s,3929,https://www.speedrun.com/dmc3se/runs/z11oll9z
2018-09-10,zq31e21y,Simoteus,1h 04m 49s,3889,https://www.speedrun.com/dmc3se/runs/zq31e21y
2018-09-13,ywpqw49z,Simoteus,1h 04m 44s,3884,https://www.speedrun.com/dmc3se/runs/ywpqw49z
2019-06-16,yj3452dz,Simoteus,1h 04m 24s,3864,https://www.speedrun.com/dmc3se/runs/yj3452dz
2019-09-23,znr76k9y,Simoteus,1h 04m 18s,3858,https://www.speedrun.com/dmc3se/runs/znr76k9y
2019-10-06,m313qp6z,Simoteus,1h 03m 50s,3830,https://www.speedrun.com/dmc3se/runs/m313qp6z
2021-03-15,y8vovewz,LonerHero,1h 01m 53s,3713,https://www.speedrun.com/dmc3se/runs/y8vovewz
2021-07-08,ylq22rrz,Waifu,1h 01m 43s,3703,https://www.speedrun.com/dmc3se/runs/ylq22rrz
2021-07-11,yo7g51jm,Waifu,59m 31s,3571,https://www.speedrun.com/dmc3se/runs/yo7g51jm
2021-09-26,z5de9ggm,Simoteus,58m 55s,3535,https://www.speedrun.com/dmc3se/runs/z5de9ggm
2021-10-11,zp86xqry,esfrenchie09,58m 09s,3489,https://www.speedrun.com/dmc3se/runs/zp86xqry
2021-11-17,y474p7ny,esfrenchie09,58m 05s,3485,https://www.speedrun.com/dmc3se/runs/y474p7ny
2021-12-16,y483462m,hies,57m 12s,3432,https://www.speedrun.com/dmc3se/runs/y483462m
2022-05-27,mr765n4z,Simoteus,56m 51s,3411,https://www.speedrun.com/dmc3se/runs/mr765n4z
2022-12-30,zpgrverz,Simoteus,56m 32s,3392,https://www.speedrun.com/dmc3se/runs/zpgrverz
2023-04-06,zpge1krz,LonerHero,56m 16s,3376,https://www.speedrun.com/dmc3se/runs/zpge1krz